[03 February 2016 at 12:01:37 MST] - ::admin 
[03 February 2016 at 12:02:00 MST] - ::master 
[03 February 2016 at 12:03:04 MST] - ::item 24873
[03 February 2016 at 12:03:33 MST] - ::item 30427
[03 February 2016 at 12:03:48 MST] - ::item 30445
[03 February 2016 at 12:04:07 MST] - ::item 30466
[03 February 2016 at 12:04:33 MST] - ::item 30568
[03 February 2016 at 12:04:45 MST] - ::item 30571
[03 February 2016 at 12:05:06 MST] - ::item 30574
[03 February 2016 at 12:05:30 MST] - ::item 30939
[03 February 2016 at 12:06:03 MST] - ::item 30930
[03 February 2016 at 12:06:06 MST] - ::item 30933
[03 February 2016 at 12:06:09 MST] - ::item 30936
[03 February 2016 at 12:06:47 MST] - ::item 32014
[03 February 2016 at 12:07:46 MST] - ::item 32055
[03 February 2016 at 12:07:55 MST] - ::item 32052
[03 February 2016 at 12:08:38 MST] - ::item 32053
[03 February 2016 at 12:09:00 MST] - ::item 32054
[03 February 2016 at 12:09:10 MST] - ::item 32056
[03 February 2016 at 12:09:35 MST] - ::item 32228
[03 February 2016 at 12:09:53 MST] - ::item 32380
[03 February 2016 at 12:10:00 MST] - ::item 32383
[03 February 2016 at 12:10:06 MST] - ::item 32836
[03 February 2016 at 12:10:17 MST] - ::item 32389
[03 February 2016 at 12:10:29 MST] - ::item 32386
[03 February 2016 at 12:11:08 MST] - ::item 33300
[03 February 2016 at 12:15:12 MST] - ::item 33366
[03 February 2016 at 12:15:43 MST] - ::item 33735
[03 February 2016 at 12:18:00 MST] - ::item 33520
[03 February 2016 at 12:18:52 MST] - ::item 30755
[03 February 2016 at 12:19:10 MST] - ::item 30597
[03 February 2016 at 12:19:18 MST] - ::item 30598
[03 February 2016 at 12:19:22 MST] - ::item 30599
[03 February 2016 at 12:19:26 MST] - ::item 30600
[03 February 2016 at 12:19:29 MST] - ::item 30602
[03 February 2016 at 12:19:32 MST] - ::item 30603
[03 February 2016 at 12:35:58 MST] - ::item 30481
[03 February 2016 at 12:37:44 MST] - ::tele 0,48,54,19,35
[03 February 2016 at 12:37:46 MST] - ::tele 0,48,54,13,34
[03 February 2016 at 12:38:00 MST] - ::tele 0,38,142,38,19
[03 February 2016 at 12:38:07 MST] - ::tele 1,38,142,38,19
[03 February 2016 at 12:38:08 MST] - ::tele 0,38,142,38,19
[03 February 2016 at 12:38:09 MST] - ::tele 0,38,142,38,19
[03 February 2016 at 12:38:10 MST] - ::tele 0,38,142,38,19
[03 February 2016 at 12:38:10 MST] - ::tele 0,38,142,38,19
[03 February 2016 at 12:39:17 MST] - ::tele 0,72,40,57,18
[03 February 2016 at 12:40:00 MST] - ::tele 0,36,51,13,23
[03 February 2016 at 12:40:08 MST] - ::tele 0,36,51,1,19
[03 February 2016 at 12:40:10 MST] - ::tele 0,36,51,12,5
[03 February 2016 at 12:40:12 MST] - ::tele 0,36,51,22,2
[03 February 2016 at 12:40:14 MST] - ::tele 0,36,50,32,56
[03 February 2016 at 12:40:14 MST] - ::tele 0,36,50,36,48
[03 February 2016 at 12:40:28 MST] - ::tele 0,43,56,14,10
[03 February 2016 at 12:42:51 MST] - ::item 30760
[03 February 2016 at 12:45:26 MST] - ::bank 
[03 February 2016 at 12:46:17 MST] - ::bank 
[03 February 2016 at 12:49:30 MST] - ::home 
[03 February 2016 at 12:52:23 MST] - ::tele 0,46,52,45,38
[03 February 2016 at 12:53:32 MST] - ::tele 0,46,50,11,31
[03 February 2016 at 12:54:14 MST] - ::bank 
[03 February 2016 at 12:55:25 MST] - ::item 29492
[03 February 2016 at 12:55:37 MST] - ::item 29493
[03 February 2016 at 12:55:42 MST] - ::item 29494
[03 February 2016 at 12:55:55 MST] - ::item 18666
[03 February 2016 at 12:56:38 MST] - ::item 31268
[03 February 2016 at 12:57:13 MST] - ::item 31285
[03 February 2016 at 01:06:20 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:20 MST] - ::tele 1,46,50,13,13
[03 February 2016 at 01:06:21 MST] - ::tele 1,46,50,13,13
[03 February 2016 at 01:06:21 MST] - ::tele 1,46,50,13,13
[03 February 2016 at 01:06:21 MST] - ::tele 2,46,50,13,13
[03 February 2016 at 01:06:21 MST] - ::tele 2,46,50,13,13
[03 February 2016 at 01:06:21 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:21 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:21 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:22 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:22 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:22 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:22 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:22 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:22 MST] - ::tele 0,46,50,13,13
[03 February 2016 at 01:06:41 MST] - ::bank 
[03 February 2016 at 01:14:09 MST] - ::clan 
[03 February 2016 at 01:14:13 MST] - ::create clan
[03 February 2016 at 01:15:00 MST] - ::bank 
[03 February 2016 at 01:15:17 MST] - ::bank 
[03 February 2016 at 01:23:33 MST] - ::item 29297
[03 February 2016 at 01:24:23 MST] - ::item 33853
[03 February 2016 at 01:26:10 MST] - ::tele 0,46,50,18,36
[03 February 2016 at 01:26:11 MST] - ::tele 0,46,50,32,47
[03 February 2016 at 01:26:13 MST] - ::tele 0,46,50,24,49
[03 February 2016 at 01:26:14 MST] - ::tele 0,46,51,47,5
[03 February 2016 at 01:26:18 MST] - ::tele 0,46,51,48,8
[03 February 2016 at 01:26:25 MST] - ::tele 0,46,51,30,37
[03 February 2016 at 01:26:26 MST] - ::tele 0,46,51,30,30
[03 February 2016 at 01:26:27 MST] - ::tele 1,46,51,30,30
[03 February 2016 at 01:26:27 MST] - ::tele 0,46,51,30,30
[03 February 2016 at 01:26:36 MST] - ::tele 0,46,51,29,23
[03 February 2016 at 01:26:39 MST] - ::tele 0,46,51,38,29
[03 February 2016 at 01:26:40 MST] - ::tele 0,46,51,45,38
[03 February 2016 at 01:27:00 MST] - ::tele 0,46,51,62,62
[03 February 2016 at 01:27:01 MST] - ::tele 0,46,52,63,19
[03 February 2016 at 01:27:04 MST] - ::tele 0,47,52,0,40
[03 February 2016 at 01:27:05 MST] - ::tele 0,46,52,38,48
[03 February 2016 at 01:27:10 MST] - ::tele 0,46,52,31,49
[03 February 2016 at 01:27:10 MST] - ::tele 0,46,52,24,51
[03 February 2016 at 01:27:11 MST] - ::tele 0,46,52,16,52
[03 February 2016 at 01:30:37 MST] - ::tele 0,59,44,13,30
[03 February 2016 at 01:31:08 MST] - ::tele 0,41,41,36,34
[03 February 2016 at 01:31:54 MST] - ::tele 0,41,40,5,56
[03 February 2016 at 01:31:55 MST] - ::tele 0,41,40,20,30
[03 February 2016 at 01:31:57 MST] - ::tele 0,41,40,14,26
[03 February 2016 at 01:32:00 MST] - ::tele 0,41,40,14,30
[03 February 2016 at 01:32:02 MST] - ::tele 0,41,40,13,19
[03 February 2016 at 01:32:04 MST] - ::tele 0,41,40,19,15
[03 February 2016 at 01:32:06 MST] - ::tele 0,41,40,31,20
[03 February 2016 at 01:32:07 MST] - ::tele 0,41,40,32,30
[03 February 2016 at 01:33:33 MST] - ::tele 0,49,53,28,60
[03 February 2016 at 01:33:44 MST] - ::tele 0,49,53,30,63
[03 February 2016 at 01:33:51 MST] - ::tele 0,49,54,30,2
[03 February 2016 at 01:33:54 MST] - ::tele 0,49,54,31,9
[03 February 2016 at 01:33:57 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:33:59 MST] - ::tele 1,49,54,26,17
[03 February 2016 at 01:33:59 MST] - ::tele 2,49,54,26,17
[03 February 2016 at 01:33:59 MST] - ::tele 2,49,54,26,17
[03 February 2016 at 01:34:00 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:00 MST] - ::tele 1,49,54,26,17
[03 February 2016 at 01:34:00 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:00 MST] - ::tele 1,49,54,26,17
[03 February 2016 at 01:34:01 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:01 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:01 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:02 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:02 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:02 MST] - ::tele 1,49,54,26,17
[03 February 2016 at 01:34:02 MST] - ::tele 0,49,54,26,17
[03 February 2016 at 01:34:02 MST] - ::tele 1,49,54,26,17
[03 February 2016 at 01:34:03 MST] - ::tele 0,49,54,24,21
[03 February 2016 at 01:34:06 MST] - ::tele 0,49,54,16,23
[03 February 2016 at 01:34:07 MST] - ::tele 0,49,54,21,31
[03 February 2016 at 01:34:09 MST] - ::tele 0,49,54,27,35
[03 February 2016 at 01:34:11 MST] - ::tele 1,49,54,27,35
[03 February 2016 at 01:34:13 MST] - ::tele 1,49,54,25,32
[03 February 2016 at 01:34:13 MST] - ::tele 2,49,54,25,32
[03 February 2016 at 01:34:14 MST] - ::tele 2,49,54,25,32
[03 February 2016 at 01:34:14 MST] - ::tele 3,49,54,25,32
[03 February 2016 at 01:34:15 MST] - ::tele 3,49,54,25,32
[03 February 2016 at 01:34:15 MST] - ::tele 3,49,54,25,32
[03 February 2016 at 01:34:16 MST] - ::tele 2,49,54,25,32
[03 February 2016 at 01:34:16 MST] - ::tele 2,49,54,25,32
[03 February 2016 at 01:34:16 MST] - ::tele 2,49,54,25,32
[03 February 2016 at 01:34:16 MST] - ::tele 1,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 1,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 0,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 2,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 0,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 0,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 0,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 0,49,54,25,32
[03 February 2016 at 01:34:17 MST] - ::tele 0,49,54,25,32
[03 February 2016 at 01:34:19 MST] - ::tele 0,49,54,62,27
[03 February 2016 at 01:34:21 MST] - ::tele 0,49,54,63,36
[03 February 2016 at 01:34:22 MST] - ::tele 0,50,54,0,47
[03 February 2016 at 01:34:25 MST] - ::tele 0,50,54,8,45
[03 February 2016 at 01:34:27 MST] - ::tele 0,50,54,15,44
[03 February 2016 at 01:34:29 MST] - ::tele 0,50,54,16,42
[03 February 2016 at 01:34:32 MST] - ::tele 0,50,54,25,43
[03 February 2016 at 01:34:33 MST] - ::tele 0,50,54,30,47
[03 February 2016 at 11:46:54 MST] - ::item 11126
[03 February 2016 at 12:20:41 MST] - ::item 14289
[03 February 2016 at 12:20:50 MST] - ::item 14538
[03 February 2016 at 12:55:11 MST] - ::item 21227
[03 February 2016 at 12:55:19 MST] - ::item 21039
[03 February 2016 at 12:55:34 MST] - ::item 21002
[03 February 2016 at 12:55:46 MST] - ::item 21299
[03 February 2016 at 12:55:59 MST] - ::item 18478
[03 February 2016 at 01:00:33 MST] - ::item 25991
[03 February 2016 at 01:21:45 MST] - ::inter 1311
[03 February 2016 at 01:21:51 MST] - ::inter 1312
[03 February 2016 at 01:22:08 MST] - ::inter 1313
[03 February 2016 at 01:22:13 MST] - ::inter 1314
[03 February 2016 at 01:22:16 MST] - ::inter 1315
[03 February 2016 at 01:26:43 MST] - ::tele 0,46,53,44,13
[03 February 2016 at 01:26:45 MST] - ::tele 0,46,53,50,14
[03 February 2016 at 01:26:46 MST] - ::tele 0,46,53,58,12
[03 February 2016 at 01:26:49 MST] - ::tele 0,47,53,2,11
[03 February 2016 at 01:26:59 MST] - ::tele 0,46,53,59,19
[03 February 2016 at 01:27:00 MST] - ::tele 0,46,53,48,21
[03 February 2016 at 01:27:02 MST] - ::tele 0,46,53,44,26
[03 February 2016 at 01:27:03 MST] - ::tele 0,46,53,33,30
[03 February 2016 at 01:27:28 MST] - ::god 
[03 February 2016 at 01:27:42 MST] - ::tele 0,47,95,41,35
[03 February 2016 at 01:27:44 MST] - ::tele 0,47,95,34,29
[03 February 2016 at 01:27:45 MST] - ::tele 0,47,95,32,22
[03 February 2016 at 01:27:46 MST] - ::tele 0,47,95,36,22
[03 February 2016 at 01:27:47 MST] - ::tele 0,47,95,41,20
[03 February 2016 at 01:27:48 MST] - ::tele 1,47,95,41,20
[03 February 2016 at 01:27:49 MST] - ::tele 2,47,95,41,20
[03 February 2016 at 01:27:49 MST] - ::tele 1,47,95,41,20
[03 February 2016 at 01:27:51 MST] - ::tele 1,47,95,38,21
[03 February 2016 at 01:27:53 MST] - ::tele 0,47,95,38,21
[03 February 2016 at 01:27:58 MST] - ::tele 0,47,95,34,26
[03 February 2016 at 01:28:05 MST] - ::tele 0,47,95,40,37
[03 February 2016 at 01:28:14 MST] - ::tele 0,47,95,34,44
[03 February 2016 at 01:28:18 MST] - ::tele 0,47,95,40,40
[03 February 2016 at 01:28:26 MST] - ::tele 0,47,95,43,26
[03 February 2016 at 01:28:28 MST] - ::tele 0,47,95,33,18
[03 February 2016 at 01:28:29 MST] - ::tele 1,47,95,33,18
[03 February 2016 at 01:28:30 MST] - ::tele 1,47,95,33,18
[03 February 2016 at 01:28:32 MST] - ::tele 1,47,95,33,20
[03 February 2016 at 01:28:34 MST] - ::tele 0,47,95,33,20
[03 February 2016 at 01:28:56 MST] - ::tele 0,47,95,39,27
[03 February 2016 at 01:28:57 MST] - ::tele 0,47,95,40,37
[03 February 2016 at 01:29:29 MST] - ::tele 0,47,95,37,43
[03 February 2016 at 01:29:36 MST] - ::tele 0,47,95,37,21
[03 February 2016 at 01:29:47 MST] - ::tele 0,47,95,29,34
[03 February 2016 at 01:29:49 MST] - ::tele 0,47,95,12,37
[03 February 2016 at 01:29:51 MST] - ::tele 0,47,95,23,33
[03 February 2016 at 01:29:52 MST] - ::tele 1,47,95,23,33
[03 February 2016 at 01:29:53 MST] - ::tele 2,47,95,23,33
[03 February 2016 at 01:29:53 MST] - ::tele 2,47,95,23,33
[03 February 2016 at 01:29:53 MST] - ::tele 3,47,95,23,33
[03 February 2016 at 01:29:56 MST] - ::tele 2,47,95,23,33
[03 February 2016 at 01:31:44 MST] - ::tele 2,47,95,29,39
